Date,Region,Location from list,Title,Code,Elevation,Caught,Buried,Killed,Aspect,Vertical Fall,Latitude,Longitude,Avalanche Type,Bed Surface,D size,R size,Problem Type,Trigger,Slab Thickness units
3/30/2025,Bridger Range,Fairy Lake,Dry Loose near Fairy Lake,L-AS-R1-D1.5-S,8400,0,0,,,,45.9043,-110.958,Loose-snow avalanche,S - Avalanche released within new snow,1.5,1,Loose Dry,Skier,centimeters
3/29/2025,Northern Madison,Beehive Basin,"Point releases, wet loose in Beehive/Middle Basin",WL-N-R1-D1.5,,0,0,,,,45.3407,-111.391,Wet loose-snow avalanche,,1.5,1,Loose Wet,Natural trigger,centimeters
3/26/2025,Bridger Range,Fairy Lake,Wet Loose Avalanches in Airplane Bowl,WL-N-R1-D1-I,8500,0,0,,,,45.9043,-110.958,Wet loose-snow avalanche,I - Interface between new and old snow,1,1,Wet Snow,Natural trigger,centimeters
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3/25/2025,Cooke City,Henderson Mountain,Wind slabs North of Cooke City,SS-N-R1-D1-I,10000,0,0,,NE,,45.0524,-109.945,Soft slab avalanche,I - Interface between new and old snow,1,1,Wind Slab,Natural trigger,centimeters
3/25/2025,Bridger Range,Bradley Meadow,Wet Loose Avalanche Bradleys Meadow,WS-N-R1-D1-I,8000,0,0,,SE,200,45.8322,-110.928,Wet slab avalanche,I - Interface between new and old snow,1,1,Loose Wet,Natural trigger,inches
3/25/2025,Northern Madison,Gallatin Canyon,Wet slides in Gallatin Canyon,WL-N-R2-D2,,0,0,,S,,45.369,-111.175,Wet loose-snow avalanche,,2,2,Loose Wet,Natural trigger,centimeters
3/24/2025,Cooke City,The Fin,Natural Avalanche on the Fin,SS-N-R2-D2-I,10000,0,0,,E,800,45.0046,-109.958,Soft slab avalanche,I - Interface between new and old snow,2,2,Wind-Drifted Snow,Natural trigger,centimeters
3/24/2025,Bridger Range,Saddle Peak,Wind Slab Avalanche on Saddle Peak,SS,9100,0,0,,E,1200,45.7943,-110.936,Soft slab avalanche,,,,Wind-Drifted Snow,,centimeters
3/22/2025,Southern Madison,Taylor Fork,Triggered avalanche in Taylor Fork,HS-AM,9070,0,0,,N,,44.9442,-111.285,Hard slab avalanche,,,,Persistent Slab,Snowmobile,inches
3/22/2025,Northern Madison,Buck Ridge,Wind slabs near Buck Ridge,SS-N-R1-D1,9200,0,0,,N,100,45.1719,-111.38,Soft slab avalanche,,1,1,Wind Slab,Natural trigger,inches
,,,,,,,,,,,,,,,,,,,
3/22/2025,Cooke City,COOKE CITY,Natural avalanche north of Cooke City,SS-N-R2-D2-O,9000,0,0,,,150,45.0202,-109.938,Soft slab avalanche,O - Old snow,2,2,Persistent Weak Layer,Natural trigger,inches
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3/19/2025,Southern Madison,Sunlight Basin,Persistent slab avalanche in the Taylor Fork,SS-AM-R2-D2-O,,0,0,,,150,44.9731,-111.31,Soft slab avalanche,O - Old snow,2,2,Persistent Weak Layer,Snowmobile,inches
3/19/2025,Bridger Range,Saddle Peak,Small wind slab avalanches on Saddle Peak,SS-N-R1-D1-I,9000,0,0,,E,,45.7943,-110.936,Soft slab avalanche,I - Interface between new and old snow,1,1,Wind-Drifted Snow,Natural trigger,inches
3/17/2025,Cooke City,Goose Lake,Avalanche at Goose Lake,SS-N-R2-D2-I,10800,0,0,,E,450,45.1153,-109.914,Soft slab avalanche,I - Interface between new and old snow,2,2,Wind-Drifted Snow,Natural trigger,centimeters
